youtubeId,title,channel,bpm,key
sP4UmD34nmQ,"Johnny ""Guitar"" Watson / Superman Lover",Vinyle Archéologie,,
2Kjra2wW4wQ,Tim Eyermann + East Coast Offering / Requiem for an Unborn Child,Vinyle Archéologie,89,A#m
zM0Ne369LGs,André Popp / Bloody Serenade,Vinyle Archéologie,,
x0_htqoms9M,Ole Jensen + His Music / Exotica,Vinyle Archéologie,,
HxLVrj3cBsU,Manolo Gas & The Tinto Band Bang / Una Simple Melodía,Vinyle Archéologie,,
NyLF9CSOuBo,Arthur Adams / Midnight Serenade,Vinyle Archéologie,,
zZlVjNRDoy4,Christian Piget / Gazuel Blues,Vinyle Archéologie,,
Usfyv9nq1go,MANDRILL / Synthia Song,Vinyle Archéologie,,
ggA15vJ9bj4,MAD MUSIC / Mad Music 4,Vinyle Archéologie,,
GPOlpT4U0Ms,Richard Harris / Requiem,Vinyle Archéologie,,
T3GPTt9up3o,Cy Coleman / Prelude in Black,Vinyle Archéologie,,
QSPFNZSjmb8,The Modern Jazz Quartet / Valeria,Vinyle Archéologie,,
fzbfKRT5Tak,HIROSHIMA / Kokoro,Vinyle Archéologie,,
aWhha0RjK88,テイチク・オーケストラ / 望郷子守唄,Vinyle Archéologie,,
BrB2i2zpSMQ,Debbie Deb / When I Hear Music (Instrumental),Vinyle Archéologie,,
2fQstXbwIBA,Gruppo Jazz Marca / Colori d'Autunno,Vinyle Archéologie,144,Em
FuR5W1JnHDk,Pascal Comelade / Note Bleue,Vinyle Archéologie,,
a5A4Thu41O4,Vocal Jazz Ensemble / The World is a Ghetto,Vinyle Archéologie,,
yRhnHFfYc0M,Thomas Wilbrandt / Chant I–II,Vinyle Archéologie,,
jQdmrAoPvDc,Juan Carlos Calderón y Su Taller de Música / Oh My Guitar,Vinyle Archéologie,,
DxS1rV9WPpY,Frederic Rabold Crew / Nina's Dance,Vinyle Archéologie,,
NH8ZdSFOODM,Mary Lou Williams / Dirge Blues,Vinyle Archéologie,,
BfrnImiX6rw,Astral Sounds / Space,Vinyle Archéologie,,
pjuR4x2LyRo,López–Araya–Wilson / Adagio (Suelo),Vinyle Archéologie,,
TsXvKppBhtA,The New Percussion Octet / Graphics 1,Vinyle Archéologie,,
Sol59N-xEuM,DECA / Star Voice,Vinyle Archéologie,,
q0jE4Z_ZxAY,Billy Cobham / Panama,Vinyle Archéologie,,
sVn3bPC7zRo,横山菁児 / ローラのセレナーデ,Vinyle Archéologie,,
sdlKT40R73o,Patrick Beauvarlet / La Comptine,Vinyle Archéologie,,
ABrh_s225co,Rudolf Rokl / Never Ending Song of Love,Vinyle Archéologie,,
eCzra2Qc32Y,The Jeff Lorber Fusion / Soft Space,Vinyle Archéologie,,
si5MXti1-3w,Frank Cordell / Blue Trombone,Vinyle Archéologie,,
XUOjaFzSh2Y,Гюли Чохели / Последний Танец,Vinyle Archéologie,,
_Y1bizfMJRA,Jacques Denjean / Tema del Voyeur (2ª Variación),Vinyle Archéologie,,
MhMXEoFT3EQ,Santi Latora Electronic Sound / Tutta Una Vita,Vinyle Archéologie,,
s3stSlY8QrQ,The Joey Jefferson Band / Mr. Music Man,Vinyle Archéologie,,
6A_lSqHLT2A,The Sound Gallery / Eaux Fortes,Vinyle Archéologie,,
hzU8QKFBeGI,George Duke / Spock Does The Bump at The Space Disco,Vinyle Archéologie,,
w3u_Z1ber3U,Soul Affair Orchestra / Melancholic Dreams,Vinyle Archéologie,,
ijvvX-hrP1U,Peter Herbolzheimer Rhythm Combination & Brass / Butterfly,Vinyle Archéologie,,
F2PeRnzRDk8,Fusión / Lamentación,Vinyle Archéologie,,
hBSXrHtA0go,Jae Mason / Monday Morning Blues,Vinyle Archéologie,,
1cKLF5wPR2A,Farida / Il Pianoforte,Vinyle Archéologie,,
duCRfG-S6mU,Gianni Fallabrino / Musica Nella Notte,Vinyle Archéologie,,
zgCZHkpsqRg,Freeway Fusion / Where Are You Now (Refrain),Vinyle Archéologie,117,Fm
nK3IsH8e_pk,Phil Flowers and The Inner Connection / Standing on a Rock,Vinyle Archéologie,,
UkxfqymWkUk,Adrian Enescu / Rock Balade,Vinyle Archéologie,,
XUYdjf86-c0,DELTA-T / In-Tempo Spatial Shift,Vinyle Archéologie,,
75cAosAm58g,Sounds Galactic / Nocturne,Vinyle Archéologie,,
6_f0fkOrvLE,PYRAMID / Song for Bobby,Vinyle Archéologie,,
nOd5Ju067Lw,Jack Trombey + The International Studio Orchestra / The Killer,Vinyle Archéologie,,
PmrXJ_vVHdI,Melodic Energy Commission / Silver Spider,Vinyle Archéologie,,
zH_Kopw5cDE,Harlem Pop Trotters / La Méduse Apprivoisée,Vinyle Archéologie,,
MIelr0irB8Y,JONATHAN / Li Song,Vinyle Archéologie,81,Em
DNawhJZhinQ,The London Studio Group / Sinister Stranger,Vinyle Archéologie,,
rY7hA4WW840,John Pigneguy and The Sound of Horns / The Odd Couple,Vinyle Archéologie,,
bjGZqvWGIKc,William B. Tanner / Smooth Rhythm,Vinyle Archéologie,,
lB1dqpPFwVw,The Music People / Bluesy Scene,Vinyle Archéologie,,
5SW6BszZ1qY,Hal Gordon + Hollywood Jazz Quintet / Bittersweet,Vinyle Archéologie,,
E-TXlTZu75o,Orchester Hubert Deuringer / Romantic Melody,Vinyle Archéologie,,
pEBK3246tEA,Juan Torres + Su Organo Melódico / Pueblito de Belem,Vinyle Archéologie,,
LOuCL-h8jFE,Otto Weiss Rhythm & Strings / Floating,Vinyle Archéologie,,
P1DbbQMfJj0,Georges Garvarentz / Ballade pour une Chanson,Vinyle Archéologie,,
k4_E06ZuaUQ,Мелодия / Вспоминая Друга,Vinyle Archéologie,,
vlbGO2qKnJc,Maripal Chrissy / Piano Elegi,Vinyle Archéologie,,
lJCF4Jk7_kE,Dexter Wansel / Rhodes Piano Two,Vinyle Archéologie,185,Am
EdxoC2FT-0Q,Franco Micalizzi / Tema di Albert (Versione Voce e Archi),Vinyle Archéologie,,
_KJgZECWsqg,Bobby Moore & The Rhythm Aces / Groovin' with the Aces,Vinyle Archéologie,,
fy2jLNM0TT0,Ron Daniels / Dance Encounters of the Fourth Kind,Vinyle Archéologie,,
bunCFzSOYZo,Alec Gould / Hip Strings,Vinyle Archéologie,,
8rxr1_Qbe30,Remigio Ducros / Tempo di Preghiera,Vinyle Archéologie,,
AFXaWvgpOXA,The MPI Studio Orchestra / Night and Fog,Vinyle Archéologie,,
