title,channel,genre,era,url,tags
Nat Adderley - New Orleans (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=LjjCFRtxLj0,drum-break-youtube-ingest
Peggy Lee - [Sittin' On] The Dock Of The Bay (Drum Break - Loop),Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=4G4yai73KSc,drum-break-youtube-ingest
The Perfections - Since I Lost My Baby [Drum Break] (1968),Rhythm Relics,soul,1960s,https://www.youtube.com/watch?v=QjvQF4VVECA,drum-break-youtube-ingest
Middle Of The Road ‎– Chirpy Chirpy Cheep Cheep (drum break) instrumental loop,Unknown,soul,1960s,https://www.youtube.com/watch?v=41S7EiBdwgs,drum-break-youtube-ingest
The Winstons - Amen Brother (Drum Break) instrumental loop .  Funk / Soul 1969,RARE LOOP INSTRUMENTAL MUSIC RECORD ARCHIVE,funk,1960s,https://www.youtube.com/watch?v=ACU0gOax9xA,drum-break-youtube-ingest
"The Winstons - Amen, Brother (Drum Break - Loop)",Armando Drum Breaks,jazz,1960s,https://www.youtube.com/watch?v=_2UltDBPW0w,drum-break-youtube-ingest
Bryan Ferry - One Kiss - Drum Break,funkprovida2,soul,1960s,https://www.youtube.com/watch?v=eCmbwoIZhSo,drum-break-youtube-ingest
Paul Nero - This Is Detroit Soul - Drum Break,funkprovida2,funk,1960s,https://www.youtube.com/watch?v=9mW4qTWGz1g,drum-break-youtube-ingest
Thelma Houston - Cheap Lovin - Drum Break,funkprovida2,funk,1960s,https://www.youtube.com/watch?v=D3zrKD5ZH3c,drum-break-youtube-ingest
Bill Doggett - Mad - Drum Break,funkprovida2,funk,1960s,https://www.youtube.com/watch?v=d3-UUztEU9M,drum-break-youtube-ingest
Silent Majority – Frightened Girl [Drum Break] (1969),Rhythm Relics,soul,1960s,https://www.youtube.com/watch?v=GkT7SdcSGd8,drum-break-youtube-ingest
70's Korean Rare Groove Instrumental ( Drum break/ Funk / Jazz/ psychicedelic),Seoul Soul,jazz,1960s,https://www.youtube.com/watch?v=Zw45WHoHm4w,drum-break-youtube-ingest
[DRUM BREAK] Fullerton Dam - Sweet & Sour Chicken Balls (1975),Canadian Cult Classics,soul,1960s,https://www.youtube.com/watch?v=W2DsCUEFRMU,drum-break-youtube-ingest
"Ike & Tina Turner - Cussin, Cryin & Carryin On - Drum Break",funkprovida2,funk,1960s,https://www.youtube.com/watch?v=2xSintJHDR4,drum-break-youtube-ingest
[DRUM BREAK] Billy Martin & The Soul Jets - Walk On The Wildside (1969),Canadian Cult Classics,funk,1960s,https://www.youtube.com/watch?v=ew6Tjju3_SU,drum-break-youtube-ingest
[DRUM BREAK] Billy Martin & The Soul Jets - Peaches And Cream (1969),Canadian Cult Classics,funk,1960s,https://www.youtube.com/watch?v=g2BCFp-sKCk,drum-break-youtube-ingest
